gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Recency,Frequency,Monetary,Segment,churn_prob,Risk,Value,Action
Female,0,Yes,No,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,Yes,Electronic check,29.85,29.85,0,1,1,29.85,2,0.23636620346210827,Medium Risk,Low Value,General engagement
Male,0,No,No,34,1,0,DSL,1,0,1,0,0,0,One year,No,Mailed check,56.95,1889.5,0,34,3,1889.5,3,0.19307799648494023,Low Risk,Low Value,General engagement
Male,0,No,No,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,Yes,Mailed check,53.85,108.15,1,2,3,108.15,2,0.17695883555031208,Low Risk,Low Value,General engagement
Male,0,No,No,45,0,0,DSL,1,0,1,1,0,0,One year,No,Bank transfer (automatic),42.3,1840.75,0,45,3,1840.75,0,0.24896518452036476,Medium Risk,Low Value,General engagement
Female,0,No,No,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,70.7,151.65,1,2,1,151.65,2,0.273349181744,Medium Risk,Low Value,General engagement
Female,0,No,No,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,99.65,820.5,1,8,5,820.5,3,0.34840966000561296,Medium Risk,Low Value,General engagement
Male,0,No,Yes,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,22,4,1949.4,3,0.3061775418377643,Medium Risk,Low Value,General engagement
Female,0,No,No,10,0,0,DSL,1,0,0,0,0,0,Month-to-month,No,Mailed check,29.75,301.9,0,10,1,301.9,2,0.1667509337078764,Low Risk,Low Value,General engagement
Female,0,Yes,No,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,Yes,Electronic check,104.8,3046.05,1,28,6,3046.05,3,0.35092262554862436,Medium Risk,Medium Value,General engagement
Male,0,No,Yes,62,1,0,DSL,1,1,0,0,0,0,One year,No,Bank transfer (automatic),56.15,3487.95,0,62,3,3487.95,0,0.20996018100625113,Medium Risk,Medium Value,General engagement
Male,0,Yes,Yes,13,1,0,DSL,1,0,0,0,0,0,Month-to-month,Yes,Mailed check,49.95,587.45,0,13,2,587.45,2,0.16405594993154377,Low Risk,Low Value,General engagement
Male,0,No,No,16,1,0,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),18.95,326.8,0,16,1,326.8,2,0.06783273301073839,Low Risk,Low Value,General engagement
Male,0,Yes,No,58,1,1,Fiber optic,0,0,1,0,1,1,One year,No,Credit card (automatic),100.35,5681.1,0,58,5,5681.1,1,0.3756787868045189,Medium Risk,High Value,Engage: Notifications + feature updates
Male,0,No,No,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,49,6,5036.3,1,0.3639247796858395,Medium Risk,High Value,Engage: Notifications + feature updates
Male,0,No,No,25,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,Yes,Electronic check,105.5,2686.05,0,25,6,2686.05,3,0.28699911381051196,Medium Risk,Medium Value,General engagement
Female,0,Yes,Yes,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,No,Credit card (automatic),113.25,7895.15,0,69,8,7895.15,1,0.12569477356290995,Low Risk,High Value,Reward: Loyalty perks / premium features
Female,0,No,No,52,1,0,No,0,0,0,0,0,0,One year,No,Mailed check,20.65,1022.95,0,52,1,1022.95,0,0.16052085254871476,Low Risk,Low Value,General engagement
Male,0,No,Yes,71,1,1,Fiber optic,1,0,1,0,1,1,Two year,No,Bank transfer (automatic),106.7,7382.25,0,71,6,7382.25,1,0.15195854112476892,Low Risk,High Value,Reward: Loyalty perks / premium features
Female,0,Yes,Yes,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,No,Credit card (automatic),55.2,528.35,1,10,3,528.35,2,0.16285434251338618,Low Risk,Low Value,General engagement
Female,0,No,No,21,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,Yes,Electronic check,90.05,1862.9,0,21,4,1862.9,3,0.3123827333680593,Medium Risk,Low Value,General engagement
Male,1,No,No,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,Yes,Electronic check,39.65,39.65,1,1,2,39.65,2,0.2097129215544971,Medium Risk,Low Value,General engagement
Male,0,Yes,No,12,1,0,No,0,0,0,0,0,0,One year,No,Bank transfer (automatic),19.8,202.25,0,12,1,202.25,2,0.15169109618300822,Low Risk,Low Value,General engagement
Male,0,No,No,1,1,0,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.15,20.15,1,1,1,20.15,2,0.20049318803807473,Medium Risk,Low Value,General engagement
Female,0,Yes,No,58,1,1,DSL,0,1,0,1,0,0,Two year,Yes,Credit card (automatic),59.9,3505.1,0,58,4,3505.1,0,0.08718406638067243,Low Risk,Medium Value,General engagement
Male,0,Yes,Yes,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,49,4,2970.3,0,0.18576983093336927,Low Risk,Medium Value,General engagement
